Date,Open,High,Low,Close,Adj Close,Volume
2015-04-28,14.384100,14.384100,13.919000,14.118300,13.592530,2653253
2015-04-29,14.085100,14.101700,13.777800,13.910700,13.392660,2280943
2015-04-30,13.869200,14.168200,13.744600,13.960500,13.440607,3407989
2015-05-04,14.027000,14.683100,14.010400,14.508700,13.968391,3668558
2015-05-05,14.325900,14.583400,14.209700,14.550200,14.008345,4324195
2015-05-06,14.433900,14.757800,14.325900,14.575100,14.032318,3193778
2015-05-07,14.566800,14.608300,14.242900,14.550200,14.008345,2753194
2015-05-08,14.691400,14.691400,14.325900,14.450500,13.912357,3241220
2015-05-11,14.525300,14.624900,14.218000,14.276100,13.744454,2235909
2015-05-12,14.242900,14.616600,14.234600,14.508700,13.968391,5195368
2015-05-13,14.566800,14.832500,14.550200,14.832500,14.280133,3759709
2015-05-14,14.824200,14.982000,14.483700,14.658100,14.112227,3456755
2015-05-15,14.766100,15.056800,14.658100,15.023600,14.464115,3003047
2015-05-18,15.090000,15.198000,14.566800,14.716300,14.168260,2952956
2015-05-19,14.766100,14.766100,14.525300,14.691400,14.144288,2076967
2015-05-20,14.575100,14.874100,14.566800,14.757800,14.208215,3089984
2015-05-21,14.583400,14.824200,14.566800,14.824200,14.272141,2213994
2015-05-22,14.849200,14.932200,14.218000,14.317600,13.784409,4288433
2015-05-25,14.251200,14.533600,13.968800,14.525300,13.984373,1488278
2015-05-26,14.375800,14.384100,13.927300,14.027000,13.504630,3732978
2015-05-27,13.985400,14.035300,13.744600,13.910700,13.392660,3278908
2015-05-28,13.993800,13.993800,13.661600,13.678200,13.168820,3855917
2015-05-29,13.611700,13.728000,13.379200,13.520400,13.016894,3824129
2015-06-01,13.379200,13.669900,13.296100,13.603400,13.096807,1422413
2015-06-02,13.719700,13.960500,13.520400,13.885800,13.368690,2312972
2015-06-03,13.968800,14.093400,13.653300,13.985400,13.464579,3196065
2015-06-05,13.777800,13.869200,13.487200,13.487200,12.984933,2067334
2015-06-08,13.603400,13.935600,13.528700,13.819300,13.304665,3803057
2015-06-09,13.769500,13.802700,13.520400,13.669900,13.160829,2350902
2015-06-10,13.744600,13.952200,13.636600,13.877500,13.360698,2774748
2015-06-11,13.943900,14.076800,13.769500,14.010400,13.488649,3789089
2015-06-12,13.894100,14.018700,13.827700,13.910700,13.392660,2648798
2015-06-15,13.794400,14.151500,13.752900,14.118300,13.592530,2189310
